,Close,High,Low,Open,Volume,SMA_30,Price_SMA_Ratio,RSI_14,MACD,MACD_Signal,MACD_Hist,Returns,Volatility_30d,Forward_Return_30d,CapMrktCurUSD,CapMVRVCur,AdrActCnt,HashRate,IssTotUSD,TxCnt,TxTfrCnt,FeeTotNtv,FlowInExUSD,FlowOutExUSD,SplyCur,SplyExNtv,BlkCnt,AdrBalCnt,CapMrktEstUSD,PriceUSD,Puell_Multiple,NVT_proxy,NetFlowExUSD,ExchangeSupplyRatio,MVRV_Z,AdrActCnt_log,HashRate_log,CapMrktCurUSD_log,TxCnt_log,TxTfrCnt_log,IssTotUSD_log,CapMVRVCur_roc_7d,CapMVRVCur_roc_30d,AdrActCnt_roc_7d,AdrActCnt_roc_30d,HashRate_roc_7d,HashRate_roc_30d,TxCnt_roc_7d,TxCnt_roc_30d,NetFlowExUSD_7d,regime_base,regime_conservative,regime_aggressive,cycle,regime_price
2015-01-21,226.89700317382812,227.7879943847656,211.2120056152344,211.3780059814453,29924600,,,34.070139785645395,-12.075930609073566,-11.265356670325332,-0.8105739387482345,0.0737382606648691,,0.0744038200065877,3133526729.5787454,0.73912676,215260,325690.633353804,848943.183752192,93268,226997,12.81696748,5460774.302303987,6135856.995033964,13749314.78463701,853613.98421033,149,4082199,,227.904210403273,,60.57046914557026,-675082.692729977,0.0620841109234132,,12.27960652435242,12.693706302736048,21.865424958174636,11.443243070102374,12.33269648585204,13.651748719613076,0.3114857291174351,,-0.1638634898192242,,0.0275862068965526,,-0.1282794201489817,,-238831.40004290873,0,0,0,1,1
2015-01-22,233.406005859375,237.0189971923828,226.4340057373047,227.3220062255859,33544600,,,37.94805799253111,-10.430734688117866,-11.09719143344914,0.6664567453312742,0.0286870368250755,,0.0476765397774758,3213279974.8754363,0.75789177,230504,295088.828877607,788559.9170075977,95488,238362,13.72463626,5094350.867766284,3592116.5982367024,13752689.78463701,860043.47745531,135,4090647,,233.647382817066,,57.696653764597585,1502234.269529582,0.0625363831311061,,12.348027833157545,12.595035093639671,21.890558051744872,11.466766336588648,12.381550000786076,13.577964939227453,0.1116066191634848,,-0.1216452575382868,,-0.1059602649006632,,-0.2020123515598232,,-202373.6601128423,0,0,0,1,1
2015-01-23,232.8789978027344,234.84500122070312,225.1959991455078,233.5169982910156,24621700,,,35.66555470305859,-9.066953332355524,-10.688732698430558,1.6217793660750337,-0.0022579027249115,,0.013303076839813,3206926509.857733,0.75661441,216750,271044.553932025,722711.8425189942,94078,232288,13.94772383,2200366.775723907,4438881.539471488,13755789.78463701,850441.59277686,124,4096619,,233.132852425482,,59.21868449785185,-2238514.7637475813,0.0618242649888896,,12.286504508242295,12.510042181425469,21.88857884216498,11.451890133824262,12.355737565075987,13.490767247306897,0.1334455571870141,,-0.1201221071603996,,-0.1079136690647466,,-0.1018120715663248,,-179684.39586202655,0,0,0,1,1
2015-01-24,247.8470001220703,248.2100067138672,230.02200317382812,232.6999969482422,24782500,,,43.26352603098475,-6.871711475085618,-9.92170627388281,3.049994798797192,0.0642737321122228,,-0.0361311689334313,3427105944.2266946,0.8081469,201529,275416.240285767,784608.6902980725,80633,210799,11.14573254,3382682.7297183783,3131943.486163985,13758939.78463701,851448.24568163,126,4097100,,249.08212390415,,65.27042246233147,250739.2435543933,0.0618832743662663,,12.213693532661535,12.526042464209738,21.95498199422146,11.29767567577512,12.258665095649343,13.572941663303386,0.2563476971873764,,-0.2601426636171063,,-0.0869565217391303,,-0.088027053926891,,-201340.8279876816,0,1,0,1,1
2015-01-25,253.7180023193359,255.07400512695312,243.88999938964844,247.3520050048828,33582700,,,46.9653069924452,-4.675745490473162,-8.868535349943325,4.192789859470164,0.0236880099189176,,-0.0590537587873892,3502692396.5058613,0.8258294,318167,273230.397108896,795368.5664450625,85829,370748,13.24394967,4606985.399593611,5411872.868803083,13762064.78463701,848285.84594974,125,4114941,,254.51794126242,,37.11972764421389,-804887.4692094717,0.061639431235399,,12.670334824146796,12.5180743236074,21.976797766145943,11.360123874712263,12.823280562761209,13.586562149073837,0.2144461952650844,,0.2871666450902972,,-0.1830065359477131,,0.0246403629200739,,-422552.1094716617,0,1,0,1,1
2015-01-26,273.4729919433594,309.3840026855469,254.07899475097656,254.07899475097656,106794000,,,51.32406983638459,-1.5243745078060726,-7.395250451131319,5.870875943325246,0.0778619941960576,,-0.1316509921759039,3771018340.3958287,0.89147229,263343,277602.083462638,869798.3775131516,107895,277917,16.0199841,9744490.207524288,7598819.813882563,13765239.78463701,856118.12487315,127,4118685,,273.952244886032,,49.53003876926208,2145670.3936417233,0.0621942035349532,,12.481216441283848,12.533947615127442,22.050610919012403,11.588923079196691,12.535081385133552,13.676017863478773,0.2754424921515999,,0.0326771499156894,,-0.118055555555556,,0.0897604234001292,,-76122.64807312017,0,1,0,1,1
2015-01-27,263.4750061035156,275.4800109863281,250.6529998779297,273.1669921875,44399000,,,60.30859993981458,0.2401225046678234,-5.864474671242794,6.104597175910618,-0.0365593171332783,,-0.1026625319437001,3645385810.763192,0.86202293,249279,317507.026636064,986207.9217635876,99265,252880,13.98880719,4633182.809735802,4409667.0772415195,13768964.78463701,856962.36479981,149,4122543,,264.753804500292,,54.44861113823556,223515.73249428257,0.0622386924655354,,12.42633204166452,12.66825837773884,22.01672804365426,11.50555839462466,12.440674301326476,13.801623499338003,0.2608930029832783,,0.0638355077009742,,0.2309837880119556,,-0.0091533409195264,,57667.816218993095,0,1,0,1,1
2015-01-28,233.9149932861328,266.5350036621094,227.04600524902344,263.35101318359375,44352200,,,66.9907819412226,-0.500523380983168,-4.789605313479969,4.289081932496801,-0.1121928537151987,,0.0851292572733737,3246805002.498614,0.76846781,198841,336476.453109996,966516.9458211584,85087,188464,11.59524688,3380918.79941618,2762000.241967394,13773064.78463701,859587.83980727,164,4120381,,235.735840444185,,73.08061372271104,618918.5574487858,0.0624107889745851,,12.200265818496389,12.726286421691272,21.900937273905488,11.351441294042749,12.146667592237634,13.781455145302072,0.0396969120695887,,-0.076275202081204,,0.0331167637371847,,-0.0877149719089076,,242525.1376731021,0,0,0,1,1
2015-01-29,233.51300048828125,238.70599365234375,220.7120056152344,233.34800720214844,32213400,,,58.90461806237248,-1.101557053756267,-4.050852496921789,2.9492954431655223,-0.0017185422456431,,0.0888601489279452,3223269286.8193126,0.76357085,217393,336476.453109996,959225.2312098168,92284,229990,12.50188755,4900528.181279437,3828522.024019137,13777164.78463701,864169.89739058,164,4126914,,233.957373465809,,59.903320947158605,1072006.1572602997,0.062724799398075,,12.289466654392346,12.726286421691272,21.893661988203597,11.432636893741392,12.345795456704934,13.773882229287551,0.0074932598885459,,-0.0568797070766667,,0.1402547984951174,,-0.0335539544235925,,181063.9787774903,0,0,0,1,1
2015-01-30,226.4250030517578,242.8509979248047,225.83900451660156,232.77200317382812,26605200,249.82649892171224,0.906329008448028,56.62886075189311,-2.0727776503539133,-3.6547471729679177,1.581969522614004,-0.0303537594125478,,0.1491751897652866,3154330219.336208,0.74804548,193117,283132.625177924,789691.8553185265,79736,208657,10.99797737,3383633.685746867,5168539.404473747,13780614.78463701,856372.01434527,138,4133600,,228.896189947399,,66.04434447268488,-1784905.71872688,0.0621432372741436,,12.171056680022554,12.55367423896,21.872042018908488,11.286488997955225,12.248451827005258,13.579399358108448,-0.0113253592407788,,-0.1090334486735871,,0.0445980967724242,,-0.1524479687068177,,245865.2709233048,0,0,0,1,1
