time,CapMrktCurUSD,CapMVRVCur,AdrActCnt,HashRate,IssTotUSD,TxCnt,TxTfrCnt,FeeTotNtv,FlowInExUSD,FlowOutExUSD,SplyCur,SplyExNtv,BlkCnt,AdrBalCnt,CapMrktEstUSD,PriceUSD,Puell_Multiple,NVT_proxy,NetFlowExUSD,ExchangeSupplyRatio
2017-02-12,16261183420.522734,2.14002159,562366,2938069.77932847,1761018.813530095,233606,503474,100.895258860038,3451154.8326632706,3808571.212174328,16159436.09873789,890867.94843054,140,14013089,,1006.29646487434,1.1367388737847248,32.095870092076034,-357416.3795110574,0.05512989085678058
2017-02-13,16160716998.968723,2.12270941,674942,3420752.67164672,2037404.6143958229,292905,618492,138.306961430143,12184640.712650128,6786148.222808606,16161473.59868583,896266.69366275,163,14028985,,999.953184979545,1.3143281989103253,26.130448896163294,5398492.489841522,0.05545699086100848
2017-02-14,16360999468.01771,2.14502476,676693,3546669.94790366,2138300.941707336,315969,650680,141.940366180176,8540941.632373504,8025369.091418141,16163586.09868578,896776.04525659,169,14071190,,1012.2134635301,1.3779038182641337,24.841067957653195,515572.5409553638,0.05548125519803458
2017-02-15,16390083679.675186,2.14664641,630353,2917083.56661898,1761657.9228733196,288117,595143,137.345332690143,6340040.784275019,5385985.619052591,16165323.59868566,897717.01729665,139,14106027,,1013.90384050263,1.1344823041853473,27.162083060181605,954055.1652224278,0.05553350118952397
2017-02-16,16762275451.099981,2.19057597,677760,3168918.11913285,1956972.957229687,291591,618928,166.766936530165,16187604.596987354,11565116.265152149,16167211.09868552,902175.40630714,151,14112489,,1036.80686475745,1.2594899606007937,26.121311523611013,4622488.331835205,0.055802785081496935
2017-02-17,17117738325.423428,2.22822443,697160,3168918.11913285,1998239.4746398248,320136,728341,165.533239090261,9966873.596192341,7006567.18028836,16169098.59868544,904971.65692221,151,14163902,,1058.66992033898,1.2855539005990597,22.19990169259377,2960306.415903981,0.055969208883158456
2017-02-18,17152060499.02682,2.22851853,688930,3254025.02653876,2002012.3692113585,282844,626418,153.184510560221,3247956.7703412334,5719062.215183725,16170986.09868541,902641.89532889,151,14170726,,1060.66880488019,1.2868904407576478,25.8150086662347,-2471105.4448424913,0.055818605607623924
2017-02-19,17123393628.768436,2.22135058,592596,2936112.56385841,1773467.2205873723,251635,556947,128.712789330105,5525026.190469885,27695848.56005041,16172661.09868541,881702.05102957,134,14198575,,1058.78640035067,1.1397356269455645,29.038061249428424,-22170822.369580522,0.05451805646884166
2017-02-20,17609003081.472546,2.27876692,656025,3242870.59291824,2014073.594061958,282397,612562,160.658349140207,5323305.304712607,6518867.923331241,16174511.09868534,880603.88319153,148,14212477,,1088.68842922268,1.292974513612272,26.40469225757611,-1195562.6186186345,0.05444392586698372
2017-02-21,18260629743.437252,2.35331243,644640,3023757.71501836,1947275.38070426,279162,595175,168.598236630138,7829504.433887206,7369222.120660773,16176236.09868522,881011.62572152,138,14234354,,1128.85529316189,1.2488661882208665,27.17895761529839,460282.31322643347,0.0544633263477854
2017-02-22,18276271622.23027,2.3431243,627239,3023757.71501836,1948735.5888690765,279252,592867,181.549898010039,6584539.0572867105,7047443.179102424,16177961.09868515,880601.86792026,138,14271565,,1129.70179064874,1.2486604188958697,27.287673455741594,-462904.1218157131,0.054432190963287094
2017-02-23,19235588833.46992,2.45151251,702266,3286693.16849821,2229115.8478229064,328502,677772,212.619141329672,10982342.057306528,7606977.963895122,16179836.0986851,883441.0239387,150,14326169,,1188.86178550555,1.4258663799022984,23.872092825736534,3375364.0934114065,0.05460135804530772
2017-02-24,19183431396.255405,2.42731203,763642,3571539.90976806,2415433.6166021354,343931,714365,223.610575229659,14573851.092042701,11440037.185055196,16181873.59868503,886084.50202545,163,14368337,,1185.48889158387,1.5429578677166658,22.652108654098434,3133813.906987505,0.05475784349826184
2017-02-25,18637526262.688423,2.35507801,741893,3659185.06092801,2403974.8882349543,321609,689667,188.503289169841,6255092.888454386,8330071.135413611,16183961.09866502,884282.68740928,167,14381334,,1151.60473687902,1.5332424206916482,23.466341145313635,-2074978.2469592253,0.054639447167370084
2017-02-26,19127391989.752533,2.41199874,663264,3900209.22661788,2629306.6765560997,271193,577209,165.385325899972,4209360.836287815,7948097.203579932,16186186.09866499,881118.8539579,178,14358422,,1181.71086586791,1.673921055707851,28.042158210743406,-3738736.3672921173,0.054436471234602525
2017-02-27,19330923262.65187,2.42985611,661526,3155225.44175829,2149474.410262998,283200,604062,198.138442159718,6532033.65094167,10326100.705702852,16187986.09866491,877941.6490254,144,14387592,,1194.15245014611,1.3667753904949393,26.79855064325336,-3794067.0547611825,0.054234148934548906
2017-02-28,19240074535.181675,2.41245373,704366,3352427.03186818,2272814.886658384,327840,674555,224.486492449445,5359981.031585123,6200796.995320154,16189898.59866475,877234.12966688,153,14437652,,1188.39994073641,1.44314872306969,24.000857748685803,-840815.963735031,0.054184041013031994
2017-03-01,19890848403.357536,2.48115883,680418,3155225.44175829,2211227.371104624,313728,653646,231.028099399609,8452301.8260754,6128150.98574788,16191698.59866461,879126.0524819,144,14480966,,1228.45965061368,1.4023705214734834,24.771357276973482,2324150.840327519,0.05429486271158758
2017-03-02,20451484173.712143,2.53571034,735015,3440072.18302813,2478503.004747949,330853,692814,252.324192299293,17528337.28809534,13900464.790732792,16193661.09866456,881998.63313338,157,14519093,,1262.93146738749,1.5696472237342203,23.37374980682341,3627872.4973625485,0.0544656719539546
2017-03-03,20881944223.053177,2.57132568,732359,3349345.38703688,2433673.0232320353,335165,702163,259.212572589357,8743012.443081627,7819916.616923164,16195548.59866437,882714.56471303,151,14579993,,1289.36319111631,1.5385369452042634,23.065226448366506,923095.826158463,0.05450352974062432
2017-03-04,20553283951.317657,2.52422599,626694,3023455.91166441,2093752.096271187,267483,594458,220.927535629674,5609508.182087735,5666553.539532219,16197198.59866431,882669.60961068,132,14617769,,1268.94066440678,1.3224687170798672,27.247002477322724,-57045.35744448379,0.05449520200878865
2017-03-05,20674403461.6224,2.53213829,695966,3367030.44708082,2345152.8923911517,278466,641559,217.630128749661,8325255.945374221,8140277.514036547,16199036.09866426,882814.54594668,147,14635315,,1276.27368293396,1.4790710999349916,25.24948773014525,184978.43133767322,0.05449796769200824
2017-03-06,20773565472.502632,2.53275359,675606,3252505.60194202,2276002.0155245513,287019,646585,238.074862379608,7928141.964667123,10269166.032286225,16200811.09866417,880988.83679015,142,14687216,,1282.25465663355,1.433520385913354,25.05596495227104,-2341024.067619102,0.054379304309201626
2017-03-07,20001880903.960194,2.43376828,738688,3504460.26124739,2360936.233706905,327507,698378,268.774432029545,7877673.262676442,6450961.656129378,16202723.59866404,882144.55879084,153,14725122,,1234.47646206897,1.4844872880718158,23.200506886906574,1426711.6065470641,0.05444421448154403
2017-03-08,18669841118.503216,2.27006537,686030,3252505.60194202,2045047.4159117565,298430,645308,235.927375359579,10587311.499360932,9882961.084764587,16204498.59866386,882755.90011045,142,14747091,,1152.13938924606,1.2848452053463395,25.11126252683038,704350.4145963453,0.05447597744142713
2017-03-09,19341556300.890316,2.34691879,705017,3389935.41610858,2207892.724196384,304802,670131,236.830002029546,8545608.724246563,7167223.565289717,16206348.59860357,883910.85320945,148,14781178,,1193.45552659264,1.3860225270761586,24.18385151351537,1378385.1589568462,0.05454102432954038
2017-03-10,17805304675.138165,2.16260738,747049,3573175.16833067,2142133.7906195177,307987,674666,255.244075449606,12179610.838257376,10353573.60661346,16208298.59860345,885573.10820832,156,14789461,,1098.53014903565,1.34351989683566,24.024181741192603,1826037.2316439152,0.05463701836567987
2017-03-11,19076489140.277233,2.31121876,690924,3412840.38513634,2191832.6910907375,278371,637757,219.575806899683,6032825.535454965,7264524.405184543,16210161.09860343,884526.47761731,149,14795308,,1176.822921391,1.3734778618914483,25.41745696025827,-1231698.8697295776,0.05456617440362857
2017-03-12,19969225806.410828,2.41252703,598360,3550270.19930291,2386512.440977503,221735,518502,187.812129089776,3192263.1523217224,4214287.241044499,16212098.59860341,883696.743132,155,14781987,,1231.74835663355,1.493139300384278,31.26718623766814,-1022024.0887227766,0.05450847327119796
2017-03-13,20095461364.369675,2.41079093,681914,3321220.5090253,2246405.7870762665,270973,617975,222.526486609734,6744400.733211261,14015623.510239271,16213911.09854876,877829.99752478,145,14787827,,1239.39629631794,1.403370488414836,26.237163475138576,-7271222.77702801,0.05414054586763775
2017-03-14,20213663790.264263,2.41809563,747825,3573175.16833067,2430746.301504963,313365,691843,255.670761769559,7744505.172845512,6933950.487429668,16215861.09854864,878480.24293936,156,14801983,,1246.53656487434,1.516315927049072,23.438643013730918,810554.6854158435,0.05417413466978859
2017-03-15,20412350079.66159,2.43048179,673841,3252505.60194202,2234106.2021142556,291717,650251,238.332057509706,7656900.105941219,7183748.7590697715,16217636.09854854,878856.16223984,142,14832611,,1258.65138147282,1.3923116361841432,24.94057848207621,473151.34687144775,0.0541913850390623
2017-03-16,19106964810.720158,2.27079494,729304,3504460.26124739,2252964.68510154,323892,727545,261.925193499544,16739897.00932748,12157292.717080764,16219548.5984084,882746.25016127,153,14888499,,1178.02075037989,1.402464142025181,22.293533181326794,4582604.292246716,0.05442483462504577
2017-03-17,17390758588.155197,2.07020764,711639,3600869.26330221,2063758.8859672784,294408,665196,245.932205489744,13380178.089415116,12642632.506308628,16221473.59840831,883434.20613187,154,14896536,,1072.08253816482,1.2833966719411092,24.386005926686735,737545.583106488,0.054460786239454516
2017-03-18,15616177573.012672,1.86260387,689478,3712647.13922961,1889041.7727257456,263681,625314,216.530886059787,9666830.733473256,6370541.624741378,16223436.09840687,886858.67639467,157,14900595,,962.569056165985,1.1737473073286484,25.944463259109618,3296289.108731878,0.054665279969991
2017-03-19,16553582293.813684,1.97134108,664913,3901826.61129226,2104204.272917876,265099,614425,210.573897279835,10785111.472400635,9119308.475671725,16225498.59840686,888491.46401181,165,14909396,,1020.22025353594,1.3058521421302256,26.40761459642244,1665802.9967289101,0.05475896217445353
2017-03-20,16839878321.345238,2.00477708,658172,3216051.02506514,1764185.78799532,281905,647779,242.848460549638,5748239.372529555,5570319.164199499,16227198.59840683,888662.91100805,136,14962135,,1037.7563458796,1.0943553144870037,25.05051660891574,177920.2083300557,0.05476379090444471
2017-03-21,18043669246.004883,2.1395375,686680,3357935.62911213,1973477.4178696584,285044,653156,249.65402219964,15813713.536860023,15781805.86899278,16228973.59840678,888691.60964425,142,14992781,,1111.81826358854,1.223053570872469,24.8470099002486,31907.66786724329,0.05475956962130335
2017-03-22,16836417663.129028,1.99485875,742361,3759942.00724527,2061638.8581421596,316577,713400,263.422602259612,13516176.675773237,17647527.048548073,16230961.09840667,884708.82728959,159,15005087,,1037.30257013442,1.2765634875064258,22.751557469030935,-4131350.3727748357,0.05450748245440859
2017-03-23,16690135752.548922,1.97800188,680140,3499820.23315912,1902119.784123328,288453,672394,236.807895019681,8639882.725627206,13579273.717147935,16232811.09840638,879904.78003106,148,15036631,,1028.17285628288,1.1770958493843127,24.14181432077975,-4939390.991520729,0.054205323692668526
